Name of he course ,Link,Rating,Duration,Level
Unsupervised Learning,https://www.udacity.com/course/unsupervised-learning--cd0026,na,2 weeks, Intermediate
Convolutional Neural Networks,https://www.udacity.com/course/convolutional-neural-networks--cd1821,na,2 weeks, Intermediate
Data lakes and Lakehouses with Spark and Azure Databricks,https://www.udacity.com/course/data-lakes-and-lakehouses-with-spark-and-azure-databricks--cd11531,na,2 weeks, Fluency
Social Media Marketing,https://www.udacity.com/course/social-media-marketing--cd0692,na,2 weeks, Intermediate
Automate Data Pipelines,https://www.udacity.com/course/automate-data-pipelines--cd12380,na,2 weeks, Beginner
Embedded Systems and Robotics Fluency,https://www.udacity.com/course/embedded-systems-and-robotics-fluency--cd12202,na,2 weeks, Intermediate
Introduction to Machine Learning,https://www.udacity.com/course/introduction-to-machine-learning--cd0385,na,2 weeks, Beginner
Full Stack Apps on AWS,https://www.udacity.com/course/full-stack-apps-on-aws--cd0353,na,2 weeks, Fluency
Predictive Data Analysis,https://www.udacity.com/course/predictive-data-analysis--cd12034,na,2 weeks, Intermediate
Java Application Deployment,https://www.udacity.com/course/java-application-deployment--cd0384,na,2 weeks, Intermediate
Azure Applications,https://www.udacity.com/course/azure-applications--cd1756,na,2 weeks, Intermediate
Data Ingestion with Kafka and Kafka Streaming,https://www.udacity.com/course/data-ingestion-with-kafka-and-kafka-streaming--cd0236,na,2 weeks, Beginner
React Native,https://www.udacity.com/course/react-native--cd0444,na,2 weeks, Intermediate
Introduction to Natural Language Processing,https://www.udacity.com/course/intro-to-natural-language-processing--cd0377,na,2 weeks, Beginner
Large Python Codebases with Libraries,https://www.udacity.com/course/large-codebases-with-libraries--cd0011,na,2 weeks, Intermediate
Object Tracking and Localization,https://www.udacity.com/course/object-tracking-and-localization--cd0359,na,2 weeks, Advanced
Introduction to Airflow,https://www.udacity.com/course/introduction-to-airflow--cd12932,na,2 weeks, Intermediate
Introduction to Neural Networks with PyTorch,https://www.udacity.com/course/introduction-to-neural-networks-with-pytorch--cd0281,na,2 weeks, Intermediate
