Link,Type,Name,Instructure,Level,Duration,Date created,Rating
https://www.pluralsight.com/courses/java-core-libraries-jdbc,courses,Java Core Libraries: JDBC 4,by Richard Monson-Haefel,Beginner,1h 48m,08-Jun-22,97.0
https://www.pluralsight.com/courses/combining-filtering-data-tsql,courses,Combining and Filtering Data with T-SQL 2019,by Tamara Pattinson,Beginner,3h 27m,08-Jun-22,213.0
https://www.pluralsight.com/courses/working-local-data-xamarin-forms,courses,Working with Local Data in Xamarin.Forms 4,by John Kuefler,Beginner,1h 45m,21-Apr-22,34.0
https://www.pluralsight.com/courses/capturing-logic-custom-functions-postgresql,courses,Capturing Logic with Custom Functions in PostgreSQL,by Gerald Britton,Intermediate,1h 54m,20-Mar-20,13.0
https://www.pluralsight.com/courses/caching-javascript-rest-api-data-local-storage,courses,Caching JavaScript REST API Data with Local Storage,by James Millar,Intermediate,1h 29m,09-Oct-20,19.0
https://www.pluralsight.com/courses/amazon-redshift-data-warehouse,courses,Building Your First Amazon Redshift Data Warehouse,by Russ Thomas,Intermediate,2h 40m,09-Mar-18,69.0
https://www.pluralsight.com/courses/moving-data-snowflake,courses,Moving Data with Snowflake,by Mohit Batra,Beginner,1h 22m,22-Nov-21,41.0
https://www.pluralsight.com/courses/exchange-server-managing-messaging-infrastructure,courses,Managing Microsoft Exchange Server Messaging Infrastructure,by Paul Cunningham,Intermediate,5h 18m,23-Jul-19,35.0
https://www.pluralsight.com/courses/sql-server-hierarchies-working,courses,Working with Hierarchies in SQL Server,by Pinal Dave,Beginner,49m,24-Aug-23,15.0
https://www.pluralsight.com/courses/spring-boot-3-fundamentals,courses,Spring Boot 3 Fundamentals,by Jesper de Jong,Beginner,2h 35m,20-Jul-23,50.0
https://www.pluralsight.com/courses/entity-framework-enterprise-update,courses,Entity Framework 6 in the Enterprise,by Julie Lerman,Intermediate,4h 42m,28-Apr-22,215.0
https://www.pluralsight.com/courses/querying-data-using-tsql,courses,Querying Data Using T-SQL,by Ami Levin,Beginner,2h 7m,19-Sep-19,541.0
